ID,Nombre,Región,Provincia,Comuna,Edad,Instrumentos,Link,Lugar específico,Instructores,Elenco, 
FOJI_A164,Orquesta Infantil Y Juvenil Del Colegio Crescente Errazuriz,Región Metropolitana,Provincia Cordillera,Puente Alto,Juvenil - Infantil,, ,Región Metropolitana - Provincia Cordillera - Puente Alto,6,25, 
FOJI_A165,Orquesta infantil y juvenil municipal de Tomé,Región del Biobío,Provincia de Concepción,Tomé,Juvenil - Infantil,, ,"Región del Biobío - Provincia de Concepción - Tomé , Concepción",5, , 
FOJI_A166,Orquesta Infantil-Juvenil de Romeral,Región del Maule,Provincia de Curicó,Romeral,Juvenil - Infantil,, ,Región del Maule - Provincia de Curicó - Romeral,1, , 
FOJI_A167,Orquesta Infantil-juvenil del Colegio Ramón Ángel Jara,Región de los Lagos,Provincia de Llanquihue,Los Muermos,Juvenil - Infantil,, ,Región de los Lagos - Provincia de Llanquihue - Los Muermos,4,17, 
FOJI_A168,Orquesta Infantil-Juvenil Municipal de Cabildo,Región de Valparaíso,Provincia de Petorca,Cabildo,Juvenil - Infantil,Cuerdas, ,Región de Valparaíso - Provincia de Petorca - Cabildo,4, , 
FOJI_A169,Orquesta Infanto-Juvenil De Pitrufquén,Región de la Araucanía,Provincia de Cautín,Pitrufquén,Juvenil - Infantil,, https://www.google.ca/url?sa=t&source=web&cd=11&ved=2ahUKEwjLksCphI7pAhUTmHIEHTfQDmkQFjAKegQIAxAB&url=https%3A%2F%2Fwww.facebook.com%2FOrquesta-de-Cuerdas-Las-Conchillas-1836288893256048%2F&usg=AOvVaw0H3xwLFs99YVRCP3NEjIL0,Región de la Araucanía - Provincia de Cautín - Pitrufquén, , , 
FOJI_A170,Orquesta Infanto-Juvenil La Matriz,Región de Valparaíso,Provincia de Valparaíso,Valparaíso,Juvenil - Infantil,"Cuerdas, Percusión"," https://catastro.foji.cl/orquesta/415/Corporacion%20La%20Matriz , https://catastro.foji.cl/orquesta/415/@corpLaMatriz , https://catastro.foji.cl/orquesta/415/corporacionlamatriz",Región de Valparaíso - Provincia de Valparaíso - Valparaíso,7,31, 
FOJI_A171,Orquesta INSAMA San Carlos,Región de Ñuble,Provincia de Punilla,San Carlos,Juvenil - Infantil,, ,Región de Ñuble - Provincia de Punilla - San Carlos, , , 
FOJI_A172,Orquesta Instituto Alonso de Ercilla,Región Metropolitana,Provincia de Santiago,Santiago,Juvenil - Infantil,, ,Región Metropolitana - Provincia de Santiago - Santiago, , , 
FOJI_A173,Orquesta Instituto Marítimo Valparaíso,Región de Valparaíso,Provincia de Valparaíso,Valparaíso,Juvenil,, ,Región de Valparaíso - Provincia de Valparaíso - Valparaíso, ,13, 
FOJI_A174,Orquesta Interfacultades UC (OIUC),Región Metropolitana,Provincia de Santiago,Macul,Juvenil,, ,"Región Metropolitana - Provincia de Santiago - Macul , Santiago", , , 
FOJI_A175,Orquesta Intermedia Liceo De Musica De Copiapo,Región de Atacama,Provincia de Copiapó,Copiapó,Infantil,," https://catastro.foji.cl/orquesta/28/Argeliarojasm , https://_.oset._/",Región de Atacama - Provincia de Copiapó - Copiapó, , , 
FOJI_A176,Orquesta Jose Manuel Balmaceda,Región del Maule,Provincia de Linares,San Javier,Infantil,," https://www.facebook.com/orquestapudahuel , https://www.youtube.com/channel/UCFgA6csPeeHT8JbffgyUsRA , https://www.instagram.com/orquestapudahuel/",Región del Maule - Provincia de Linares - San Javier, , , 
